ドキュメントタイプ,問題,改善提案
仕様書,要件定義に非機能要件が不足している,性能要件・セキュリティ要件を追加する
設計書,データベースER図が最新仕様と一致していない,最新の仕様に合わせてER図を修正する
マニュアル,操作手順にスクリーンショットが不足している,スクリーンショットを追加し視覚的に説明する
テスト計画書,テストケースが重要な機能を網羅していない,重要機能をカバーするテストケースを追加する
要件定義書,用語の定義が曖昧で関係者間で解釈が異なる,用語集を追加して関係者間の認識を統一する
仕様書,変更履歴が記載されていない,更新履歴の記載を追加する
設計書,セキュリティ要件が明記されていない,セキュリティ要件を明文化する
マニュアル,依存関係の記述が不十分,依存関係を明確に記載する
テスト計画書,パラメータの単位が明示されていない,パラメータの単位を明示する
要件定義書,外部システムとのI/F仕様が不明確,外部I/F仕様を詳細に記載する
仕様書,要件定義に非機能要件が不足している,性能要件・セキュリティ要件を追加する
設計書,データベースER図が最新仕様と一致していない,最新の仕様に合わせてER図を修正する
マニュアル,操作手順にスクリーンショットが不足している,スクリーンショットを追加し視覚的に説明する
テスト計画書,テストケースが重要な機能を網羅していない,重要機能をカバーするテストケースを追加する
要件定義書,用語の定義が曖昧で関係者間で解釈が異なる,用語集を追加して関係者間の認識を統一する
仕様書,変更履歴が記載されていない,更新履歴の記載を追加する
設計書,セキュリティ要件が明記されていない,セキュリティ要件を明文化する
マニュアル,依存関係の記述が不十分,依存関係を明確に記載する
テスト計画書,パラメータの単位が明示されていない,パラメータの単位を明示する
要件定義書,外部システムとのI/F仕様が不明確,外部I/F仕様を詳細に記載する
仕様書,要件定義に非機能要件が不足している,性能要件・セキュリティ要件を追加する
設計書,データベースER図が最新仕様と一致していない,最新の仕様に合わせてER図を修正する
マニュアル,操作手順にスクリーンショットが不足している,スクリーンショットを追加し視覚的に説明する
テスト計画書,テストケースが重要な機能を網羅していない,重要機能をカバーするテストケースを追加する
要件定義書,用語の定義が曖昧で関係者間で解釈が異なる,用語集を追加して関係者間の認識を統一する
仕様書,変更履歴が記載されていない,更新履歴の記載を追加する
